127.0.0.1 - - [16/Mar/2024:00:38:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:38:35 +0900] "GET /jspAjaxProject/simpleboard/boardList.jsp HTTP/1.1" 200 2307
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:38:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:38:38 +0900] "GET /jspAjaxProject/simpleboard/contentView.jsp?num=4 HTTP/1.1" 200 4634
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:38:38 +0900] "GET /jspAjaxProject/simpleboardanswer/listAnswer.jsp?num=4 HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:38:42 +0900] "GET /jspAjaxProject/simpleboard/contentView.jsp?num=3 HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:38:42 +0900] "GET /jspAjaxProject/simpleboardanswer/listAnswer.jsp?num=3 HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:42:30 +0900] "GET /jspAjaxProject/simpleboard/boardList.jsp HTTP/1.1" 200 2307
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:42:34 +0900] "GET /jspAjaxProject/simpleboard/contentView.jsp?num=3 HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:42:34 +0900] "GET /jspAjaxProject/simpleboardanswer/listAnswer.jsp?num=3 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:42:47 +0900] "GET /jspAjaxProject/simpleboardanswer/insertAnswer.jsp?num=3&nickname=%EC%9C%A0%EC%9E%AC%EC%84%9D&content=%EA%BB%84%EA%BB%84%E3%85%8B%E3%85%8B HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:42:47 +0900] "GET /jspAjaxProject/simpleboardanswer/listAnswer.jsp?num=3 HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:42:55 +0900] "GET /jspAjaxProject/simpleboardanswer/deleteAnswer.jsp?idx=1 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:42:56 +0900] "GET /jspAjaxProject/simpleboardanswer/listAnswer.jsp?num=3 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:43:04 +0900] "GET /jspAjaxProject/simpleboardanswer/insertAnswer.jsp?num=3&nickname=%EA%BB%84%EA%BB%84&content=%E3%85%8B%E3%85%8B%E3%85%8B%E3%85%8B%E3%85%8B%E3%85%8B%E3%85%8B%E3%85%8B HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:43:04 +0900] "GET /jspAjaxProject/simpleboardanswer/listAnswer.jsp?num=3 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:43:06 +0900] "GET /jspAjaxProject/simpleboard/boardList.jsp HTTP/1.1" 200 2307
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:43:07 +0900] "GET /jspAjaxProject/simpleboard/contentView.jsp?num=2 HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:43:07 +0900] "GET /jspAjaxProject/simpleboardanswer/listAnswer.jsp?num=2 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:43:08 +0900] "GET /jspAjaxProject/simpleboard/boardList.jsp HTTP/1.1" 200 2307
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:43:09 +0900] "GET /jspAjaxProject/simpleboard/contentView.jsp?num=4 HTTP/1.1" 200 4634
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:43:09 +0900] "GET /jspAjaxProject/simpleboardanswer/listAnswer.jsp?num=4 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [16/Mar/2024:00:43:10 +0900] "GET /jspAjaxProject/simpleboard/boardList.jsp HTTP/1.1" 200 2307
