127.0.0.1 - - [13/Mar/2024:20:00:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:00:41 +0900] "GET /jspAjaxProject/login/loginForm.jsp HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:00:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:00:49 +0900] "POST /jspAjaxProject/login/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:00:49 +0900] "GET /jspAjaxProject/login/loginMain.jsp HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:00:49 +0900] "GET /jspAjaxProject/image/div_img/beauty3.jpg HTTP/1.1" 200 124426
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:00:52 +0900] "GET /jspAjaxProject/login/logoutAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:00:52 +0900] "GET /jspAjaxProject/login/loginMain.jsp HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:00:56 +0900] "POST /jspAjaxProject/login/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:00:56 +0900] "GET /jspAjaxProject/login/loginMain.jsp HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:00:57 +0900] "GET /jspAjaxProject/login/logoutAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:00:57 +0900] "GET /jspAjaxProject/login/loginMain.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:02:58 +0900] "GET /jspAjaxProject/session/sessionMain.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:03:04 +0900] "POST /jspAjaxProject/session/sessionAction.jsp HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:03:07 +0900] "GET /jspAjaxProject/session/sessionMain.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:03:19 +0900] "POST /jspAjaxProject/session/sessionAction.jsp HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:06:00 +0900] "GET /jspAjaxProject/uploadboard/addForm.jsp HTTP/1.1" 200 2832
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:07:37 +0900] "POST /jspAjaxProject/uploadboard/addAction.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:08:05 +0900] "POST /jspAjaxProject/uploadboard/addAction.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:09:36 +0900] "GET /jspAjaxProject/uploadboard/addForm.jsp HTTP/1.1" 200 2832
0:0:0:0:0:0:0:1 - - [13/Mar/2024:20:09:49 +0900] "POST /jspAjaxProject/uploadboard/addAction.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:06:37 +0900] "GET /jspAjaxProject/uploadboard/addForm.jsp HTTP/1.1" 200 2832
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:06:50 +0900] "POST /jspAjaxProject/uploadboard/addAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:06:50 +0900] "GET /jspAjaxProject/uploadboard/boardList.jsp HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:06:50 +0900] "GET /jspAjaxProject/save/15.png HTTP/1.1" 200 27300
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:06:53 +0900] "GET /jspAjaxProject/uploadboard/boardList2.jsp HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:06:53 +0900] "GET /jspAjaxProject/save/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:00 +0900] "GET /jspAjaxProject/uploadboard/boardList.jsp HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:00 +0900] "GET /jspAjaxProject/save/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:01 +0900] "GET /jspAjaxProject/uploadboard/boardList2.jsp HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:01 +0900] "GET /jspAjaxProject/save/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:01 +0900] "GET /jspAjaxProject/uploadboard/boardList.jsp HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:01 +0900] "GET /jspAjaxProject/save/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:02 +0900] "GET /jspAjaxProject/uploadboard/boardList2.jsp HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:02 +0900] "GET /jspAjaxProject/save/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:03 +0900] "GET /jspAjaxProject/uploadboard/boardList.jsp HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:03 +0900] "GET /jspAjaxProject/save/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:05 +0900] "GET /jspAjaxProject/uploadboard/boardList2.jsp HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:05 +0900] "GET /jspAjaxProject/save/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:33 +0900] "GET /jspAjaxProject/uploadboard/boardList2.jsp HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:33 +0900] "GET /jspAjaxProject/save/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:42 +0900] "GET /jspAjaxProject/uploadboard/boardList2.jsp HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:07:42 +0900] "GET /jspAjaxProject/save/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:08:07 +0900] "GET /jspAjaxProject/uploadboard/boardList.jsp HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:08:07 +0900] "GET /jspAjaxProject/save/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:08:08 +0900] "GET /jspAjaxProject/uploadboard/boardList2.jsp HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:08:09 +0900] "GET /jspAjaxProject/uploadboard/boardList.jsp HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:08:09 +0900] "GET /jspAjaxProject/uploadboard/boardList2.jsp HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:08:09 +0900] "GET /jspAjaxProject/uploadboard/boardList.jsp HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:08:10 +0900] "GET /jspAjaxProject/uploadboard/boardList2.jsp HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:08:10 +0900] "GET /jspAjaxProject/uploadboard/boardList.jsp HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:08:11 +0900] "GET /jspAjaxProject/uploadboard/boardList2.jsp HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:08:11 +0900] "GET /jspAjaxProject/uploadboard/boardList.jsp HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:08:12 +0900] "GET /jspAjaxProject/uploadboard/boardList2.jsp HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:09:47 +0900] "GET /jspAjaxProject/uploadboard/boardList2.jsp HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:09:47 +0900] "GET /jspAjaxProject/save/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:12:08 +0900] "GET /jspAjaxProject/uploadboard/boardList2.jsp HTTP/1.1" 200 1336
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:12:08 +0900] "GET /jspAjaxProject/save/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:21:12:10 +0900] "GET /jspAjaxProject/uploadboard/boardList2.jsp HTTP/1.1" 200 1336
