127.0.0.1 - - [04/Apr/2024:15:26:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Apr/2024:15:26:49 +0900] "GET /Model1MiniProject/test/map.jsp HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [04/Apr/2024:15:26:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:26 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 8035
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:26 +0900] "GET /Model1MiniProject/menu/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:26 +0900] "GET /Model1MiniProject/image/totoro/%ED%86%A0%ED%86%A0%EB%A1%9C%EB%A9%94%EC%9D%B81.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:26 +0900] "GET /Model1MiniProject/menu/css/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:26 +0900] "GET /Model1MiniProject/menu/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:26 +0900] "GET /Model1MiniProject/menu/js/function.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:26 +0900] "GET /Model1MiniProject/image/totoro/%ED%86%A0%ED%86%A0%EB%A1%9C%EB%A9%94%EC%9D%B82.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:26 +0900] "GET /Model1MiniProject/image/totoro/%ED%86%A0%ED%86%A0%EB%A1%9C3.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:26 +0900] "GET /Model1MiniProject/image/totoro/%ED%86%A0%ED%86%A0%EB%A1%9C2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:26 +0900] "GET /Model1MiniProject/image/totoro/%ED%86%A0%ED%86%A0%EB%A1%9C6.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:26 +0900] "GET /Model1MiniProject/image/totoro/%ED%86%A0%ED%86%A0%EB%A1%9C5.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:26 +0900] "GET /Model1MiniProject/image/totoro/%ED%86%A0%ED%86%A0%EB%A1%9C4.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:26 +0900] "GET /Model1MiniProject/menu/images/plus-gray.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:26 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:30 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13435
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:30 +0900] "GET /Model1MiniProject/shopSave/%EB%A9%94%EC%9D%B43.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:30 +0900] "GET /Model1MiniProject/shopSave/%ED%86%A0%ED%86%A0%EB%A1%9C3.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:30 +0900] "GET /Model1MiniProject/shopSave/%EA%B3%A0%EC%96%91%EC%9D%B4%EB%B2%84%EC%8A%A44.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:30 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:34 +0900] "GET /Model1MiniProject/index.jsp?main=shop/detailPage.jsp?shopnum=8 HTTP/1.1" 200 9071
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:34 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:38 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13435
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:38 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:39 +0900] "GET /Model1MiniProject/index.jsp?main=shop/detailPage.jsp?shopnum=8 HTTP/1.1" 200 9071
0:0:0:0:0:0:0:1 - - [04/Apr/2024:16:26:39 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
