127.0.0.1 - - [03/Apr/2024:09:10:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:39 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:39 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:40 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:40 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:48 +0900] "GET /Model1MiniProject/index.jsp?main=login/loginForm.jsp HTTP/1.1" 200 7633
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:48 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:50 +0900] "POST /Model1MiniProject/login/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:50 +0900] "GET /Model1MiniProject/index.jsp?main=login/loginMain.jsp HTTP/1.1" 200 7383
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:50 +0900] "GET /Model1MiniProject/image/totoro/%ED%86%A0%ED%86%A0%EB%A1%9C%EB%A1%9C%EA%B3%A01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:50 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:53 +0900] "GET /Model1MiniProject/index.jsp?main=shop/addForm.jsp HTTP/1.1" 200 9293
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:53 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:55 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13287
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:55 +0900] "GET /Model1MiniProject/shopSave/%EB%A9%94%EC%9D%B43.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:55 +0900] "GET /Model1MiniProject/shopSave/%ED%86%A0%ED%86%A0%EB%A1%9C3.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:55 +0900] "GET /Model1MiniProject/shopSave/%EA%B3%A0%EC%96%91%EC%9D%B4%EB%B2%84%EC%8A%A44.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:55 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:13:01 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13367
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:13:01 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:48 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13438
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:48 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:50 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13438
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:50 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:50 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13437
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:50 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:50 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13438
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:50 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:51 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13438
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:51 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:51 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13438
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:51 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:52 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13436
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:52 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:52 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13438
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:52 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:52 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13437
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:52 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:52 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13437
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:52 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:52 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13438
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:52 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:52 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13438
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:53 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:53 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13437
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:53 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
