127.0.0.1 - - [20/Mar/2024:10:41:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:41:47 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:41:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:47:19 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:47:20 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:47:20 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:47:22 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:47:22 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:47:22 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:47:22 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:47:22 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:48:10 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:48:11 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:48:11 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:48:11 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:48:11 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:48:12 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:48:12 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:48:12 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:48:12 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:48:12 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:48:22 +0900] "GET /Model1MiniProject/layout/title.jsp HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:48:22 +0900] "GET /Model1MiniProject/image/%ED%97%88%ED%97%88/%ED%86%A0%ED%86%A0%EB%A1%9C%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 200 10824
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:51:04 +0900] "GET /Model1MiniProject/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:51:12 +0900] "GET /Model1MiniProject/layout/title.jsp HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [20/Mar/2024:10:51:12 +0900] "GET /Model1MiniProject/image/%ED%97%88%ED%97%88/%ED%86%A0%ED%86%A0%EB%A1%9C%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 200 9487
